Ireland, Deaths (period 1x10), 	Last modified: 23 Jan 2025;  Methods Protocol: v6 (2017)

  Year          Age             Female            Male           Total
2000-2009       95              1897.00          627.00         2524.00
2000-2009       96              1485.00          427.00         1912.00
2000-2009       97              1057.00          304.00         1361.00
2000-2009       98               715.00          187.00          902.00
2000-2009       99               530.00          125.00          655.00
2000-2009      100               364.06           82.30          446.36
2000-2009      101               214.36           41.73          256.09
2000-2009      102               134.74           17.89          152.63
2000-2009      103                84.01           18.43          102.44
2000-2009      104                50.14            5.39           55.53
2000-2009      105                26.05            4.28           30.33
2000-2009      106                10.81            1.00           11.81
2000-2009      107                 3.51            2.00            5.51
2000-2009      108                 4.32            0.00            4.32
2000-2009      109                 3.00            0.00            3.00
2000-2009      110+                0.00            0.00            0.00
2010-2019        0              1054.00         1293.00         2347.00
2010-2019        1                66.00          101.00          167.00
2010-2019        2                48.00           53.00          101.00
2010-2019        3                21.00           40.00           61.00
2010-2019        4                28.00           38.00           66.00
2010-2019        5                35.00           38.00           73.00
2010-2019        6                24.00           36.00           60.00
2010-2019        7                23.00           28.00           51.00
2010-2019        8                24.00           28.00           52.00
2010-2019        9                18.00           27.00           45.00
2010-2019       10                23.00           29.00           52.00
2010-2019       11                20.00           34.00           54.00
2010-2019       12                19.00           34.00           53.00
2010-2019       13                21.00           39.00           60.00
2010-2019       14                26.00           47.00           73.00
2010-2019       15                49.00           77.00          126.00
2010-2019       16                37.00          101.00          138.00
2010-2019       17                52.00          125.00          177.00
2010-2019       18                58.00          137.00          195.00
2010-2019       19                66.00          196.00          262.00
2010-2019       20                61.00          210.00          271.00
2010-2019       21                53.00          245.00          298.00
2010-2019       22                70.00          238.00          308.00
2010-2019       23                76.00          223.00          299.00
2010-2019       24                80.00          281.00          361.00
2010-2019       25                72.00          269.00          341.00
2010-2019       26               100.00          260.00          360.00
2010-2019       27               116.00          276.00          392.00
2010-2019       28                81.00          259.00          340.00
2010-2019       29               119.00          291.00          410.00
2010-2019       30               126.00          315.00          441.00
2010-2019       31               135.00          296.00          431.00
2010-2019       32               158.00          360.00          518.00
2010-2019       33               187.00          377.00          564.00
2010-2019       34               201.00          379.00          580.00
2010-2019       35               186.00          387.00          573.00
2010-2019       36               197.00          421.00          618.00
2010-2019       37               215.00          401.00          616.00
2010-2019       38               217.00          438.00          655.00
2010-2019       39               269.00          442.00          711.00
2010-2019       40               270.00          516.00          786.00
2010-2019       41               312.00          557.00          869.00
2010-2019       42               309.00          560.00          869.00
2010-2019       43               346.00          580.00          926.00
2010-2019       44               359.00          593.00          952.00
2010-2019       45               381.00          651.00         1032.00
2010-2019       46               415.00          714.00         1129.00
2010-2019       47               442.00          717.00         1159.00
2010-2019       48               504.00          830.00         1334.00
2010-2019       49               509.00          833.00         1342.00
2010-2019       50               605.00          893.00         1498.00
2010-2019       51               602.00          990.00         1592.00
2010-2019       52               668.00         1058.00         1726.00
2010-2019       53               734.00         1110.00         1844.00
2010-2019       54               823.00         1198.00         2021.00
2010-2019       55               872.00         1293.00         2165.00
2010-2019       56               918.00         1394.00         2312.00
2010-2019       57               937.00         1388.00         2325.00
2010-2019       58              1021.00         1624.00         2645.00
2010-2019       59              1079.00         1670.00         2749.00
2010-2019       60              1143.00         1700.00         2843.00
2010-2019       61              1194.00         1949.00         3143.00
2010-2019       62              1291.00         2083.00         3374.00
2010-2019       63              1446.00         2255.00         3701.00
2010-2019       64              1537.00         2413.00         3950.00
2010-2019       65              1628.00         2530.00         4158.00
2010-2019       66              1727.00         2658.00         4385.00
2010-2019       67              1826.00         2813.00         4639.00
2010-2019       68              1909.00         3054.00         4963.00
2010-2019       69              2104.00         3037.00         5141.00
2010-2019       70              2096.00         3339.00         5435.00
2010-2019       71              2292.00         3512.00         5804.00
2010-2019       72              2397.00         3564.00         5961.00
2010-2019       73              2490.00         3770.00         6260.00
2010-2019       74              2753.00         3866.00         6619.00
2010-2019       75              2897.00         4065.00         6962.00
2010-2019       76              2994.00         4214.00         7208.00
2010-2019       77              3291.00         4440.00         7731.00
2010-2019       78              3597.00         4728.00         8325.00
2010-2019       79              3825.00         4721.00         8546.00
2010-2019       80              4034.00         4949.00         8983.00
2010-2019       81              4486.00         5132.00         9618.00
2010-2019       82              4891.00         5185.00        10076.00
2010-2019       83              5049.00         5168.00        10217.00
2010-2019       84              5339.00         4983.00        10322.00
2010-2019       85              5608.00         4949.00        10557.00
2010-2019       86              5689.00         4897.00        10586.00
2010-2019       87              5931.00         4669.00        10600.00
2010-2019       88              6004.00         4290.00        10294.00
2010-2019       89              5799.00         3790.00         9589.00
2010-2019       90              5579.00         3439.00         9018.00
2010-2019       91              5362.00         2898.00         8260.00
2010-2019       92              4802.00         2318.00         7120.00
2010-2019       93              4094.00         1903.00         5997.00
2010-2019       94              3533.00         1477.00         5010.00
2010-2019       95              2847.00         1092.00         3939.00
2010-2019       96              2305.00          787.00         3092.00
2010-2019       97              1801.00          547.00         2348.00
2010-2019       98              1316.00          355.00         1671.00
2010-2019       99               938.00          230.00         1168.00
2010-2019      100               653.40          146.98          800.38
2010-2019      101               420.75           87.39          508.14
2010-2019      102               258.37           50.30          308.67
2010-2019      103               151.82           28.03          179.85
2010-2019      104                85.56           15.02          100.58
2010-2019      105                46.28            7.03           53.31
2010-2019      106                24.08            1.27           25.35
2010-2019      107                12.08            0.00           12.08
2010-2019      108                 4.62            0.00            4.62
2010-2019      109                 0.00            0.00            0.00
2010-2019      110+                0.00            0.00            0.00
2020-2022        0               278.00          309.00          587.00
2020-2022        1                13.00           14.00           27.00
2020-2022        2                11.00           11.00           22.00
2020-2022        3                 9.00            4.00           13.00
2020-2022        4                 4.00            9.00           13.00
2020-2022        5                 5.00            2.00            7.00
2020-2022        6                 4.00           13.00           17.00
2020-2022        7                 5.00           11.00           16.00
2020-2022        8                 5.00            7.00           12.00
2020-2022        9                 5.00            5.00           10.00
2020-2022       10                 4.00            9.00           13.00
2020-2022       11                 8.00           10.00           18.00
2020-2022       12                 8.00           14.00           22.00
2020-2022       13                 9.00           14.00           23.00
2020-2022       14                 8.00           10.00           18.00
2020-2022       15                 9.00           21.00           30.00
2020-2022       16                14.00           24.00           38.00
2020-2022       17                16.00           31.00           47.00
2020-2022       18                13.00           32.00           45.00
2020-2022       19                26.00           56.00           82.00
2020-2022       20                12.00           44.00           56.00
2020-2022       21                15.00           43.00           58.00
2020-2022       22                16.00           54.00           70.00
2020-2022       23                12.00           53.00           65.00
2020-2022       24                21.00           49.00           70.00
2020-2022       25                24.00           61.00           85.00
2020-2022       26                23.00           64.00           87.00
2020-2022       27                24.00           57.00           81.00
2020-2022       28                23.00           72.00           95.00
2020-2022       29                28.00           65.00           93.00
2020-2022       30                41.00           74.00          115.00
2020-2022       31                33.00           82.00          115.00
2020-2022       32                40.00           69.00          109.00
2020-2022       33                50.00          102.00          152.00
2020-2022       34                49.00           99.00          148.00
2020-2022       35                52.00           88.00          140.00
2020-2022       36                64.00           90.00          154.00
2020-2022       37                68.00          132.00          200.00
2020-2022       38                74.00          118.00          192.00
2020-2022       39                85.00          150.00          235.00
2020-2022       40               103.00          164.00          267.00
2020-2022       41               100.00          181.00          281.00
2020-2022       42               112.00          175.00          287.00
2020-2022       43               102.00          150.00          252.00
2020-2022       44               132.00          188.00          320.00
2020-2022       45               116.00          197.00          313.00
2020-2022       46               141.00          220.00          361.00
2020-2022       47               143.00          223.00          366.00
2020-2022       48               172.00          265.00          437.00
2020-2022       49               184.00          251.00          435.00
2020-2022       50               189.00          308.00          497.00
2020-2022       51               186.00          319.00          505.00
2020-2022       52               243.00          320.00          563.00
2020-2022       53               214.00          350.00          564.00
2020-2022       54               252.00          394.00          646.00
2020-2022       55               247.00          399.00          646.00
2020-2022       56               272.00          466.00          738.00
2020-2022       57               329.00          473.00          802.00
2020-2022       58               358.00          505.00          863.00
2020-2022       59               315.00          544.00          859.00
2020-2022       60               371.00          571.00          942.00
2020-2022       61               379.00          616.00          995.00
2020-2022       62               456.00          654.00         1110.00
2020-2022       63               458.00          724.00         1182.00
2020-2022       64               513.00          716.00         1229.00
2020-2022       65               512.00          779.00         1291.00
2020-2022       66               552.00          836.00         1388.00
2020-2022       67               581.00          898.00         1479.00
2020-2022       68               660.00          952.00         1612.00
2020-2022       69               667.00          978.00         1645.00
2020-2022       70               719.00         1149.00         1868.00
2020-2022       71               807.00         1212.00         2019.00
2020-2022       72               914.00         1256.00         2170.00
2020-2022       73               986.00         1436.00         2422.00
2020-2022       74              1025.00         1464.00         2489.00
2020-2022       75              1058.00         1531.00         2589.00
2020-2022       76              1149.00         1588.00         2737.00
2020-2022       77              1167.00         1638.00         2805.00
2020-2022       78              1249.00         1624.00         2873.00
2020-2022       79              1273.00         1647.00         2920.00
2020-2022       80              1347.00         1731.00         3078.00
2020-2022       81              1420.00         1750.00         3170.00
2020-2022       82              1522.00         1803.00         3325.00
2020-2022       83              1650.00         1878.00         3528.00
2020-2022       84              1761.00         1948.00         3709.00
2020-2022       85              1895.00         1801.00         3696.00
2020-2022       86              1933.00         1868.00         3801.00
2020-2022       87              1911.00         1799.00         3710.00
2020-2022       88              1912.00         1598.00         3510.00
2020-2022       89              1967.00         1498.00         3465.00
2020-2022       90              1817.00         1317.00         3134.00
2020-2022       91              1789.00         1196.00         2985.00
2020-2022       92              1559.00          946.00         2505.00
2020-2022       93              1429.00          764.00         2193.00
2020-2022       94              1247.00          584.00         1831.00
2020-2022       95              1136.00          476.00         1612.00
2020-2022       96               875.00          302.00         1177.00
2020-2022       97               656.00          236.00          892.00
2020-2022       98               513.00          132.00          645.00
2020-2022       99               340.00           98.00          438.00
2020-2022      100               255.31           66.46          321.77
2020-2022      101               168.25           39.25          207.50
2020-2022      102               106.17           22.00          128.17
2020-2022      103                64.55           11.83           76.38
2020-2022      104                38.06            6.28           44.34
2020-2022      105                21.57            3.24           24.81
2020-2022      106                11.80            0.95           12.75
2020-2022      107                 6.22            0.00            6.22
2020-2022      108                 3.14            0.00            3.14
2020-2022      109                 0.91            0.00            0.91
2020-2022      110+                0.00            0.00            0.00
